name,review_count,rating,distance,price,latitude,longitude
King Taps,400.0,4.0,903.2189784664486,$$,43.656729,-79.382736
CRAFT Beer Market,185.0,3.5,820.5097428125138,$$,43.656729,-79.382736
The Senator,492.0,4.0,320.2991263055549,$$,43.656729,-79.382736
Mick E Fynn's,52.0,2.5,550.3576861165236,$$,43.656729,-79.382736
Firkin on Yonge,112.0,3.0,427.6682457057083,$$,43.656729,-79.382736
Ali Basha,20.0,4.0,576.839314848941,$,43.656729,-79.382736
Duke Of Cornwall,24.0,3.5,575.6712085230082,$$,43.656729,-79.382736
LOUIX LOUIS,126.0,3.5,785.1890960227267,$$$,43.656729,-79.382736
Melrose On Adelaide,64.0,4.0,1137.7147459854277,,43.656729,-79.382736
Leña Restaurante,291.0,3.5,586.6807998622432,$$$,43.656729,-79.382736
Pogue Mahone Pub & Kitchen,143.0,2.5,439.253907651564,$$,43.656729,-79.382736
Upper Deck By Fran's,47.0,3.0,537.8452434985011,$$,43.656729,-79.382736
Woody's,69.0,3.5,878.249515709676,$$,43.656729,-79.382736
Teller's Bar and Lounge,5.0,4.5,949.9938151572348,$$,43.656729,-79.382736
Twilight Cafe,9.0,4.0,288.12117080612586,,43.656729,-79.382736
Sin & Redemption,204.0,3.5,755.3529144792255,$$,43.656729,-79.382736
Jack Astor's,249.0,3.0,181.0922241798883,$$,43.656729,-79.382736
McVeigh's New Windsor Tavern,39.0,3.5,760.6457889092015,$$,43.656729,-79.382736
Alobar Downtown,4.0,4.5,805.9144340680529,,43.656729,-79.382736
The Cavern Bar,12.0,4.0,915.0367629000817,$,43.656729,-79.382736
The Blake House,162.0,4.0,972.9570218971622,$$,43.656729,-79.382736
Buddies In Bad Times Theatre,23.0,4.0,746.1462640031941,$,43.656729,-79.382736
Town Crier Pub,244.0,4.0,1133.2338491247665,$$,43.656729,-79.382736
St Louis Bar and Grill,74.0,3.0,92.86014141938514,$$,43.656729,-79.382736
Village Genius Pub & Grill,133.0,3.0,758.1493738960206,$$,43.656729,-79.382736
Jazz Bistro,71.0,3.5,315.14866803375895,$$$,43.656729,-79.382736
W Burger Bar,307.0,3.5,531.3259176479839,$$,43.656729,-79.382736
