uid,station,latitude,longitude,slots,free_bikes,ll
7170,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,15,4,"43.6616667,-79.40138888888889"
7173,Cariboo St / Rail Path,43.66666667,-79.45833333333334,19,3,"43.66666667,-79.45833333333334"
7178,Dundas St W / Edna Ave,43.657192,-79.452559,15,10,"43.657192,-79.452559"
7078,College St / Major St,43.6576,-79.4032,15,4,"43.6576,-79.4032"
7079,McGill St / Church St,43.660694,-79.379052,19,10,"43.660694,-79.379052"
7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,27,10,"43.636533,-79.395854"
7077,College Park South,43.659777,-79.382767,18,16,"43.659777,-79.382767"
7070,25 York St – Union Station South,43.643667,-79.380414,11,9,"43.643667,-79.380414"
7071,161 Bleecker St (South of Wellesley),43.666233,-79.373327,23,15,"43.666233,-79.373327"
7073,Spadina Ave / Fort York Blvd,43.640114,-79.393249,23,6,"43.640114,-79.393249"
7189,Augusta Ave / Denison Sq,43.653766,-79.4016759,12,5,"43.653766,-79.4016759"
7180,Lansdowne Ave / Wade Ave,43.6587734,-79.443054,23,5,"43.6587734,-79.443054"
7181,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,15,2,"43.6538888888889,-79.4413888888889"
7182,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,19,0,"43.6508333333333,-79.4430555555556"
7183,St Clarens Ave / College St,43.651238,-79.43868,15,2,"43.651238,-79.43868"
7184,Ossington Ave / College St,43.6544915,-79.422634,11,2,"43.6544915,-79.422634"
7221,High Park Subway Station,43.6543604,-79.4655296,11,1,"43.6543604,-79.4655296"
7220,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,19,14,"43.635932,-79.465083"
7223,Parkside Dr / Bloor St W,43.654501,-79.460053,12,11,"43.654501,-79.460053"
7225,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,19,5,"43.634896,-79.467763"
7227,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,31,24,"43.6314,-79.4304"
7226,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,19,12,"43.636731,-79.444966"
7229,Dundas St W / Roncesvalles Green P,43.6534268,-79.4512787,12,1,"43.6534268,-79.4512787"
7380,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,16,1,"43.7112153,-79.39894"
