station,latitude,longitude,slots,free_bikes,ll
Carlton St / Parliament St,43.664524,-79.36793,27,17,"43.664524,-79.36793"
Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,9,5,"43.665867,-79.362506"
King St W / Bay St (East Side),43.648575,-79.380042,19,14,"43.648575,-79.380042"
Front St W / Blue Jays Way,43.643473,-79.390477,15,9,"43.643473,-79.390477"
Metro Hall Plaza,43.645859,-79.38783,27,23,"43.645859,-79.38783"
Parliament St / Gerrard St,43.662132,-79.3656796,23,20,"43.662132,-79.3656796"
Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051,11,0,"43.640722,-79.391051"
Jarvis St / Carlton St,43.66207,-79.37617,15,11,"43.66207,-79.37617"
Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,11,7,"43.660206,-79.3244"
Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,15,10,"43.668633,-79.291162"
Yonge St / Dundonald St,43.665801,-79.384796,12,8,"43.665801,-79.384796"
Bay St / Charles St W,43.668153,-79.38891,20,10,"43.668153,-79.38891"
Church St / Dundas St E,43.657024,-79.377257,15,9,"43.657024,-79.377257"
Yonge St / Alexander St,43.662862,-79.383572,18,16,"43.662862,-79.383572"
Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,20,3,"43.7063473,-79.40161"
Balliol St / Yonge St SMART,43.6978701,-79.39419,36,22,"43.6978701,-79.39419"
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,19,3,"43.696708,-79.40045"
Front St E / Scott St,43.6476616,-79.37549,11,5,"43.6476616,-79.37549"
Frederick St / The Esplanade,43.6487245,-79.36839,19,14,"43.6487245,-79.36839"
King St W / Bay St (West Side),43.64852,-79.380576,39,6,"43.64852,-79.380576"
Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,15,3,"43.656026,-79.385327"
King St W / Spadina Ave,43.645323,-79.395003,19,13,"43.645323,-79.395003"
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15,7,"43.677778,-79.405556"
Queens Quay / Yonge St,43.641646,-79.375308,31,22,"43.641646,-79.375308"
Front St W / Bay St (North Side),43.646162,-79.378912,11,11,"43.646162,-79.378912"
Danforth Ave / Westlake Ave,43.687323,-79.304848,15,12,"43.687323,-79.304848"
Jarvis St / Isabella St,43.668991,-79.379385,23,9,"43.668991,-79.379385"
Yonge St / Wood St,43.6622222,-79.3825,15,9,"43.6622222,-79.3825"
King St W / Tecumseth St,43.64333333333333,-79.40555555555557,19,15,"43.64333333333333,-79.40555555555557"
Beverley St / College St,43.6575,-79.39527777777778,23,9,"43.6575,-79.39527777777778"
Gould St / Yonge St (Ryerson University),43.657424,-79.381019,23,5,"43.657424,-79.381019"
Front St W / Bay St (South Side),43.64595,-79.378761,19,3,"43.64595,-79.378761"
Charles St W / Balmuto St,43.668427,-79.38725,20,13,"43.668427,-79.38725"
Charles St E / Jarvis St,43.669604,-79.381171,20,8,"43.669604,-79.381171"
Queen St E / Pape Ave,43.661673,-79.337789,15,14,"43.661673,-79.337789"
Gerrard St E / Broadview,43.665656,-79.352055,18,14,"43.665656,-79.352055"
Humber Bay Shores Park East,43.6308933,-79.4722622,23,22,"43.6308933,-79.4722622"
Humber Bay Shores Park West,43.6224434,-79.480284,31,22,"43.6224434,-79.480284"
Taddle Creek Park,43.66986,-79.398443,15,10,"43.66986,-79.398443"
Thompson St / Broadview Ave,43.659471,-79.350325,12,9,"43.659471,-79.350325"
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,19,10,"43.650492,-79.450842"
Queen St W / Fuller Ave,43.640255,-79.439223,16,6,"43.640255,-79.439223"
King St W / Cowan Ave,43.637922,-79.431734,16,14,"43.637922,-79.431734"
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,19,17,"43.643769,-79.447915"
Sorauren St / Geoffrey St (Sorauren Park),43.649172,-79.4445087,16,13,"43.649172,-79.4445087"
Bloor St W / Manning Ave,43.663912,-79.416124,20,9,"43.663912,-79.416124"
Simcoe St / Wellington St 1,43.6458569,-79.3853654,27,9,"43.6458569,-79.3853654"
Mallon Ave / Jones Ave,43.66587,-79.33443,16,13,"43.66587,-79.33443"
Berkeley St / Dundas St E - SMART,43.658816,-79.367318,18,14,"43.658816,-79.367318"
128 Sterling Ave - SMART,43.654004,-79.444792,20,7,"43.654004,-79.444792"
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,19,18,"43.6397,-79.44865"
Sackville St / Eastern Ave - SMART,43.653809,-79.3595,12,11,"43.653809,-79.3595"
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,12,1,"43.673768,-79.391253"
Sumach St  / Queen St E,43.656638,-79.358749,19,10,"43.656638,-79.358749"
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,16,2,"43.716652,-79.399993"
Gerrard St E / Main St,43.684261,-79.299332,21,12,"43.684261,-79.299332"
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,12,1,"43.678685,-79.297974"
Neil McLellan Park - SMART,43.65143,-79.47779,15,11,"43.65143,-79.47779"
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,15,9,"43.64976,-79.48477"
Antler St / Campbell Ave - SMART,43.664182,-79.449066,20,18,"43.664182,-79.449066"
Clarence Square,43.64407,-79.3929,23,11,"43.64407,-79.3929"
Lake Shore Blvd W / Louisa St,43.61868,-79.48674,15,8,"43.61868,-79.48674"
Front St / Simcoe St,43.6442,-79.38702,19,11,"43.6442,-79.38702"
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,14,7,"43.64283,-79.38409"
Glendonwynne Ave / Bloor St W - SMART,43.65182,-79.47421,19,1,"43.65182,-79.47421"
Russell Hill Rd / St Clair Ave W - SMART,43.685569,-79.408019,19,4,"43.685569,-79.408019"
Church St / Lombard St,43.651678,-79.375233,17,13,"43.651678,-79.375233"
Richmond St E / Yonge St,43.651838,-79.378743,17,14,"43.651838,-79.378743"
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,23,3,"43.665221,-79.394009"
Pottery Rd / Lower Don River Trail - SMART,43.688148,-79.362101,15,10,"43.688148,-79.362101"
Bleecker St / St James Ave,43.669232,-79.374495,23,17,"43.669232,-79.374495"
Western Battery Rd / Pirandello St,43.640075,-79.414156,31,27,"43.640075,-79.414156"
Carlaw Ave / Danforth Ave - SMART,43.678285,-79.347346,15,8,"43.678285,-79.347346"
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,15,2,"43.697139,-79.31469"
Goodwood Park Ct / Dentonia Park,43.694826,-79.295208,19,16,"43.694826,-79.295208"
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,19,5,"43.673118,-79.318651"
Trent Ave / Danforth Ave - SMART,43.689293,-79.295895,23,12,"43.689293,-79.295895"
Orchard Park,43.66908,-79.3149,19,8,"43.66908,-79.3149"
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,20,5,"43.66073,-79.47149"
Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,27,1,"43.63121,-79.41414"
Concord Ave / Bloor St W - SMART,43.66189,-79.42679,15,4,"43.66189,-79.42679"
High Park Subway - SMART,43.65389,-79.4675,19,4,"43.65389,-79.4675"
Via Italia / Mackay Ave - SMART,43.676697,-79.445029,17,16,"43.676697,-79.445029"
Rushton Rd / St Clair Ave W - SMART,43.68114,-79.4277,10,0,"43.68114,-79.4277"
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,16,12,"43.663148,-79.347938"
Gerrard St E / Leslie St,43.669813,-79.3335,22,13,"43.669813,-79.3335"
Marilyn Bell Park Tennis Court,43.633537,-79.437461,27,2,"43.633537,-79.437461"
The Queensway at South Kingsway - SMART,43.63632,-79.47307,23,21,"43.63632,-79.47307"
Merton St / Mount Pleasant Rd - SMART,43.697819,-79.38786,23,2,"43.697819,-79.38786"
Tyndall Ave / King St W - SMART,43.638426,-79.429142,16,13,"43.638426,-79.429142"
College Park - Yonge Entrance,43.65988,-79.38279,25,8,"43.65988,-79.38279"
Barton St / Howland St - SMART,43.66842,-79.410585,19,3,"43.66842,-79.410585"
Keele St / Annette St - SMART,43.66402,-79.46418,15,5,"43.66402,-79.46418"
Keele St / Vine Ave - SMART,43.66686,-79.46526,11,6,"43.66686,-79.46526"
Howard St / Ontario St,43.671278,-79.372127,19,9,"43.671278,-79.372127"
Little Norway Park,43.635023,-79.399505,23,12,"43.635023,-79.399505"
Isabella St / Church St - SMART,43.66834,-79.38235,19,15,"43.66834,-79.38235"
University Ave / Armoury St - SMART,43.65263,-79.38766,23,0,"43.65263,-79.38766"
Lascelles Blvd / Eglinton Ave W - SMART,43.70547,-79.40355,19,1,"43.70547,-79.40355"
Polson Pier,43.641675,-79.354006,23,11,"43.641675,-79.354006"
Dentonia Park Station,43.694341,-79.291416,23,8,"43.694341,-79.291416"
Lower Jarvis / Queens Quay E,43.64422,-79.36927,19,2,"43.64422,-79.36927"
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,11,1,"43.685924,-79.376304"
Queens Quay E / Lower Sherbourne,43.645215,-79.364898,26,11,"43.645215,-79.364898"
Wright Ave / Sorauren St (Sorauren Park),43.646677,-79.442741,18,15,"43.646677,-79.442741"
Ellis Ave / The Queensway,43.63855,-79.46693,19,17,"43.63855,-79.46693"
High Park - Grenadier Cafe,43.645599,-79.4657123,11,10,"43.645599,-79.4657123"
Winona Dr / Davenport Rd,43.674923,-79.430465,11,4,"43.674923,-79.430465"
Danforth Ave / Aldridge Ave,43.684758,-79.316767,11,3,"43.684758,-79.316767"
Dundonald St / Church St,43.66663,-79.38148,36,20,"43.66663,-79.38148"
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,19,5,"43.685221,-79.294766"
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,34,20,"43.635492,-79.398253"
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19,14,"43.63951,-79.383717"
Bremner Blvd / Rees St,43.641529,-79.386741,23,9,"43.641529,-79.386741"
King St W / Crawford St - SMART,43.6417852,-79.4131148,23,20,"43.6417852,-79.4131148"
Yonge St / Dundas Sq,43.655766,-79.3802,31,25,"43.655766,-79.3802"
